,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,filename,patch_no,inval_pixels
215,215,215,215,215.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,95.0,0.0
216,216,216,216,216.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,96.0,0.0
217,217,217,217,217.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,97.0,0.0
218,218,218,218,218.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,98.0,0.0
219,219,219,219,219.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,99.0,0.0
220,220,220,220,220.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,100.0,0.0
221,221,221,221,221.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,101.0,0.0
222,222,222,222,222.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,102.0,0.0
223,223,223,223,223.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,103.0,0.0
224,224,224,224,224.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,104.0,0.0
225,225,225,225,225.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,105.0,0.0
226,226,226,226,226.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,106.0,0.0
227,227,227,227,227.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,107.0,0.0
228,228,228,228,228.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,108.0,0.0
229,229,229,229,229.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,109.0,0.0
230,230,230,230,230.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,110.0,0.0
231,231,231,231,231.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,111.0,0.0
232,232,232,232,232.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,112.0,0.0
233,233,233,233,233.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,113.0,0.0
234,234,234,234,234.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,114.0,0.0
235,235,235,235,235.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,0.0,0.0
236,236,236,236,236.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,1.0,0.0
237,237,237,237,237.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,2.0,0.0
238,238,238,238,238.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,3.0,0.0
239,239,239,239,239.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,4.0,0.0
240,240,240,240,240.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,5.0,0.0
241,241,241,241,241.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,6.0,0.0
242,242,242,242,242.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,7.0,0.0
243,243,243,243,243.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,8.0,0.0
244,244,244,244,244.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,9.0,0.0
245,245,245,245,245.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,10.0,0.0
246,246,246,246,246.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,11.0,0.0
247,247,247,247,247.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,12.0,0.0
248,248,248,248,248.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,13.0,0.0
249,249,249,249,249.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,14.0,0.0
250,250,250,250,250.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,15.0,0.0
251,251,251,251,251.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,16.0,0.0
252,252,252,252,252.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,17.0,0.0
253,253,253,253,253.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,18.0,0.0
254,254,254,254,254.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,19.0,0.0
255,255,255,255,255.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,20.0,0.0
256,256,256,256,256.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,21.0,0.0
257,257,257,257,257.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,22.0,0.0
258,258,258,258,258.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,23.0,0.0
259,259,259,259,259.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,24.0,0.0
260,260,260,260,260.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,25.0,0.0
261,261,261,261,261.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,26.0,0.0
262,262,262,262,262.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,27.0,0.0
263,263,263,263,263.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,28.0,0.0
264,264,264,264,264.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,29.0,0.0
265,265,265,265,265.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,30.0,0.0
266,266,266,266,266.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,31.0,0.0
267,267,267,267,267.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,32.0,0.0
268,268,268,268,268.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,33.0,0.0
269,269,269,269,269.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,34.0,0.0
270,270,270,270,270.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,35.0,0.0
271,271,271,271,271.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,36.0,0.0
272,272,272,272,272.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,37.0,0.0
273,273,273,273,273.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,38.0,0.0
274,274,274,274,274.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,39.0,0.0
275,275,275,275,275.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,40.0,0.0
276,276,276,276,276.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,41.0,0.0
277,277,277,277,277.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,42.0,0.0
278,278,278,278,278.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,43.0,0.0
279,279,279,279,279.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,44.0,0.0
280,280,280,280,280.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,45.0,0.0
281,281,281,281,281.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,46.0,0.0
282,282,282,282,282.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,47.0,0.0
283,283,283,283,283.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,48.0,0.0
284,284,284,284,284.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,49.0,0.0
285,285,285,285,285.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,50.0,0.0
286,286,286,286,286.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,51.0,0.0
287,287,287,287,287.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,52.0,0.0
288,288,288,288,288.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,53.0,0.0
289,289,289,289,289.0,MOD021KM.A2002280.0535.061.2017182182157.hdf,54.0,0.0
