filename,patch_no,inval_pixels,fraction_invalid
MOD021KM.A2001162.1310.061.2017173010412.hdf,59,1,1.0162291800046747e-05
MOD021KM.A2001162.1320.061.2017173010436.hdf,0,40,0.0004064916720018699
MOD021KM.A2001162.1330.061.2017173010407.hdf,58,20,0.00020324583600093494
MOD021KM.A2001162.1335.061.2017173011051.hdf,41,1,1.0162291800046747e-05
MOD021KM.A2001162.1340.061.2017173010406.hdf,5,1,1.0162291800046747e-05
MOD021KM.A2001162.1345.061.2017173010602.hdf,19,1,1.0162291800046747e-05
MOD021KM.A2001162.1435.061.2017173011043.hdf,0,621,0.0063107832078290295
MOD021KM.A2001162.1445.061.2017173010857.hdf,18,1,1.0162291800046747e-05
MOD021KM.A2001162.1450.061.2017173011456.hdf,0,20,0.00020324583600093494
MOD021KM.A2001162.1455.061.2017173012056.hdf,9,2,2.0324583600093494e-05
MOD021KM.A2001162.1500.061.2017173011911.hdf,35,15360,0.15609280204871803
MOD021KM.A2001162.1515.061.2017173012108.hdf,8,1,1.0162291800046747e-05
MOD021KM.A2001162.1520.061.2017173012042.hdf,13,1,1.0162291800046747e-05
MOD021KM.A2001162.1525.061.2017173011925.hdf,2,1,1.0162291800046747e-05
MOD021KM.A2001162.1615.061.2017173011706.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2001162.1630.061.2017173010443.hdf,0,32,0.0003251933376014959
MOD021KM.A2001162.1635.061.2017173010442.hdf,57,1,1.0162291800046747e-05
MOD021KM.A2001162.1640.061.2017173010632.hdf,7,4,4.064916720018699e-05
MOD021KM.A2001162.1645.061.2017173010429.hdf,52,3,3.048687540014024e-05
MOD021KM.A2001162.1650.061.2017173010418.hdf,7,1,1.0162291800046747e-05
MOD021KM.A2001162.1655.061.2017173010946.hdf,3,14,0.00014227208520065446
MOD021KM.A2001162.1700.061.2017173010434.hdf,34,1,1.0162291800046747e-05
MOD021KM.A2001162.1755.061.2017173010509.hdf,0,117,0.0011889881406054693
MOD021KM.A2001162.1810.061.2017173011504.hdf,21,7,7.113604260032723e-05
MOD021KM.A2001162.1815.061.2017173012128.hdf,17,270,0.0027438187860126216
MOD021KM.A2001162.1820.061.2017173011013.hdf,47,489,0.004969360690222859
MOD021KM.A2001162.1830.061.2017173010409.hdf,23,2,2.0324583600093494e-05
MOD021KM.A2001162.1835.061.2017173010440.hdf,0,140,0.0014227208520065445
MOD021KM.A2001162.1840.061.2017173010927.hdf,0,80,0.0008129833440037398
MOD021KM.A2001162.1935.061.2017173010658.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2001162.1940.061.2017173010523.hdf,80,40,0.0004064916720018699
MOD021KM.A2001162.1945.061.2017173010518.hdf,0,90,0.0009146062620042072
MOD021KM.A2001162.1950.061.2017173011011.hdf,61,1,1.0162291800046747e-05
MOD021KM.A2001162.2010.061.2017173010549.hdf,15,1,1.0162291800046747e-05
MOD021KM.A2001162.2015.061.2017173010947.hdf,2,1,1.0162291800046747e-05
MOD021KM.A2001162.2020.061.2017173011125.hdf,2,3,3.048687540014024e-05
MOD021KM.A2001162.2110.061.2017173010714.hdf,0,29,0.00029470646220135563
MOD021KM.A2001162.2115.061.2017173010856.hdf,0,6,6.097375080028048e-05
MOD021KM.A2001162.2125.061.2017173010916.hdf,114,1,1.0162291800046747e-05
MOD021KM.A2001162.2145.061.2017173011350.hdf,33,7,7.113604260032723e-05
MOD021KM.A2001162.2150.061.2017173011937.hdf,92,2,2.0324583600093494e-05
MOD021KM.A2001162.2155.061.2017173012024.hdf,5,2,2.0324583600093494e-05
MOD021KM.A2001162.2200.061.2017173012103.hdf,1,5,5.0811459000233734e-05
MOD021KM.A2001162.2250.061.2017173012050.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2001162.2305.061.2017173012244.hdf,16,2,2.0324583600093494e-05
MOD021KM.A2001162.2315.061.2017173012046.hdf,61,28,0.0002845441704013089
MOD021KM.A2001162.2325.061.2017173012029.hdf,11,1,1.0162291800046747e-05
MOD021KM.A2001162.2330.061.2017173012311.hdf,60,4,4.064916720018699e-05
MOD021KM.A2001162.2335.061.2017173012048.hdf,12,4,4.064916720018699e-05
MOD021KM.A2001196.0000.061.2017174184408.hdf,16,2,2.0324583600093494e-05
MOD021KM.A2001196.0005.061.2017174184356.hdf,2,1,1.0162291800046747e-05
MOD021KM.A2001196.0125.061.2017174184915.hdf,52,3,3.048687540014024e-05
MOD021KM.A2001196.0135.061.2017174184349.hdf,6,1,1.0162291800046747e-05
MOD021KM.A2001196.0140.061.2017174190411.hdf,0,60,0.0006097375080028048
MOD021KM.A2001196.0145.061.2017174190533.hdf,0,61,0.0006198997998028516
MOD021KM.A2001196.0305.061.2017174184232.hdf,12,10,0.00010162291800046747
